
Scan Time:     2014-12-07 13:56:13
Target File:   J180ND2H.F4
MD5 Checksum:  26e8d41213d7ecbe5ea671fc5868462e

DECIMAL       HEXADECIMAL     ENTROPY
--------------------------------------------------------------------------------
727040        0xB1800         0.974653
728064        0xB1C00         0.977303
729088        0xB2000         0.974093
730112        0xB2400         0.974859
731136        0xB2800         0.976114
732160        0xB2C00         0.976446
733184        0xB3000         0.977262
734208        0xB3400         0.974426
735232        0xB3800         0.976991
736256        0xB3C00         0.976413
737280        0xB4000         0.977380
738304        0xB4400         0.974148
739328        0xB4800         0.978646
740352        0xB4C00         0.973995
741376        0xB5000         0.974503
742400        0xB5400         0.971744
743424        0xB5800         0.977444
744448        0xB5C00         0.977321
745472        0xB6000         0.974391
746496        0xB6400         0.978919
747520        0xB6800         0.976346
748544        0xB6C00         0.977798
749568        0xB7000         0.978507
750592        0xB7400         0.978154
751616        0xB7800         0.975254
752640        0xB7C00         0.974535
753664        0xB8000         0.980470
754688        0xB8400         0.975673
755712        0xB8800         0.979037
756736        0xB8C00         0.979880
757760        0xB9000         0.975320
758784        0xB9400         0.975403
759808        0xB9800         0.972824
760832        0xB9C00         0.976995
761856        0xBA000         0.975250
762880        0xBA400         0.973753
763904        0xBA800         0.975625
764928        0xBAC00         0.975791
765952        0xBB000         0.975198
766976        0xBB400         0.972729
768000        0xBB800         0.975099
769024        0xBBC00         0.981234
770048        0xBC000         0.973678
771072        0xBC400         0.976504
772096        0xBC800         0.977616
773120        0xBCC00         0.394125
774144        0xBD000         0.973943
775168        0xBD400         0.976180
776192        0xBD800         0.978136
777216        0xBDC00         0.976082
778240        0xBE000         0.980999
779264        0xBE400         0.977020
780288        0xBE800         0.976530
781312        0xBEC00         0.974594
782336        0xBF000         0.977976
783360        0xBF400         0.977858
784384        0xBF800         0.977495
785408        0xBFC00         0.975974
786432        0xC0000         0.979213
787456        0xC0400         0.978374
788480        0xC0800         0.977297
789504        0xC0C00         0.977434
790528        0xC1000         0.977091
791552        0xC1400         0.976461
792576        0xC1800         0.972632
793600        0xC1C00         0.973527
794624        0xC2000         0.093916
795648        0xC2400         0.000000
796672        0xC2800         0.000000
797696        0xC2C00         0.000000
798720        0xC3000         0.000000
799744        0xC3400         0.000000
800768        0xC3800         0.000000
801792        0xC3C00         0.000000
802816        0xC4000         0.000000
803840        0xC4400         0.000000
804864        0xC4800         0.000000
805888        0xC4C00         0.000000
806912        0xC5000         0.000000
807936        0xC5400         0.000000
808960        0xC5800         0.000000
809984        0xC5C00         0.000000
811008        0xC6000         0.000000
812032        0xC6400         0.000000
813056        0xC6800         0.000000
814080        0xC6C00         0.000000
815104        0xC7000         0.000000
816128        0xC7400         0.000000
